confidence,study_hours,past_score,priority
1,2,52,0.592085798816568
2,1,72,0.40791420118343197
2,1,21,0.6028550512445099
1,1,73,0.3971449487554901
1,1,25,0.5070812807881778
2,2,52,0.49291871921182223
1,2,52,0.592085798816568
2,1,72,0.40791420118343197
1,2,52,0.592085798816568
2,1,72,0.40791420118343197
1,2,52,0.5621488764044942
2,1,61,0.4378511235955058
1,2,52,0.592085798816568
2,1,72,0.40791420118343197
2,1,21,0.6028550512445099
1,1,73,0.3971449487554901
1,2,52,0.592085798816568
2,1,72,0.40791420118343197
1,2,52,0.592085798816568
2,1,72,0.40791420118343197
5,4,21,0.548104956268222
1,1,73,0.4518950437317781
2,3,21,0.5952380952380952
1,3,73,0.40476190476190466
2,1,21,0.6028550512445099
1,1,73,0.3971449487554901
2,1,21,0.6028550512445099
1,1,73,0.3971449487554901
2,2,21,0.5079175380938151
1,1,11,0.49208246190618493
